tf_code,tf_name,sf_code,sf_name,distance_km
2r6rkl,آبمیوه بستنی استوایی,0yq7qd,آبمیوه استوایی (اکباتان),0.003330528
2r93w6,تهیه غذای حمید چلویی,12zgmy,رستوران حمید چلویی,0.009167671
2r9484,اقای برگر,gngmvn,آقای برگر (تهرانپارس),0.012401659
2r97lw,سنگکی اصیل,3ddddd,نان سنگک سنتی اصیل (شعبه سرآسیاب),0.094164279
2r98kw,نان تنوری سنتی خراسانی گندم,dqv6x7,نانوایی تافتون تنوری خراسانی گندم (شعبه محلاتی),0.007291676
2r98wx,فست فود دولپی( نازی آباد),nnvdv6,فلافل دولپی (نازی آباد),0.050666345
2r9kwo,کافه گل ریپرو,nnd7o6,کافه گل ریپَرو,0.013104281
2r9r4w,کافه رستوران ساگانو لانژ,y1k21n,کافه رستوران ساگانو لانژ,0.034072104
2r9xl9,کافه بایا,dqqky7,قهوه بایا,0.008132111
2r9zg6,کترینگ ساحل,y1jrwd,تهیه غذای ساحل,0.014549594
2rno62,لواش تهرانی جهان,xd5q86,نان لواش تهران,0.177702194
2rwkln,بریانکده یملی,0r99qz,بریانکده یملی,0.006686422
2rwyw7,چلوکبابی طاها,377r2x,کترینگ طاها,0.011145193
2rwz8m,سی تو سوخاری انقلاب,12wxq4,فست فود سی تو سوخاری,0.01772194
2w1386,فست فود مروارید,94j9vk,فست فود مروارید,0.02242557
2w1778,گود برگر,0qe28d,گود برگر,0.015210337
2w194w,پیتزا ساندویچ هاوین ,3djlgg,فست فود هاوین,0.057841541
2w1zw4,پروتین پارادایس,zndvk2,پروتئین پارادایس (گوشتیران),0.040539814
2w339p,میوه سرای طاها ,r5el2o,میوه طاها,0.041776795
2w33ng,فروت لند,r5v8k1,میوه فروشی فروتلند,0.02541517
2w38gr,سبزیجات آماده مامان جون ,jyg7dg,سبزی مارکت مامان جون,0.0282607
2w3k4r,سوپر میوه سید,379r2m,سوپر میوه سید,0.020390941
2w3xpp,نان فانتزی امیرکبیر,372e8n,کیک خونه (امیرکبیر - شهرک راه‌آهن),0.264163088
2w78xy,آبمیوه بستنی لیمو نعنا ,0jmzor,آبمیوه بستنی لیمو نعنا,0.105964906
2w7oon,نانوایی بربری دانان (بنائی),0952ky,نان بربری بنائی,0.022057987
2w7y9x,فست فود هایدا (خراسان),94ww66,هایدا (میدان قیام),0.090243463
2wpp95,نان و کباب کوثر,0leqj9,نون و کباب کوثر,0.005094063
2x4163,کباب ذغالی و حلیم گلپایگانی,7j9e82,کباب ذغالی گلپایگانی,0.146265833
2x4949,رستوران همایون,zn9xlo,بیرون بر همایون,0.094824526
2x49o9,چلو کبابی مینا,0rv5j9,رستوران مینا,0.034595502
2x4gmm,کله پاچه سرای سرو,37z49n,طباخی سرو,0.004664892
2x4k9r,کافه بستنی آیس لند,44jr6y,کافه بستنی آیس لند,0.350888368
2x4o33,فست فود بهشت,3djv97,تهیه غذای بهشت,0.035952683
2x4wln,آوین پروتئین (شعبه رفاه پاسداران),3e72x5,آوین پروتئین (شعبه پاسداران),0.054188825
2x4y7z,رستوران دانیال,379v79,تهیه غذای دانیال,0.00546808
2x4yly,کافه این,vxq1nx,کافه این,0.012572804
2x74kz,سوخاری ۸۸,e5lde2,سوخاری 88,0.028452198
2x76mg,فست فود گیاهی (های وگن),0gw61q,فست فود گیاهی (های وگن),0.042159479
2x7p3k,تهیه غذای سوروسات (شعبه سیبویه),wdw9l5,بیرون بر و رستوران سوروسات,0.054755832
2x7w88,چلو کبابی کسری,3e2jzj,رستوران کسری,0.036304127
2x7z86,نانوایی بربری کادوس,124kg7,مجتمع نان کادوس,0.027995218
2xg6zp,کله پاچه سرای قصر,0j4r8r,طباخی و کله پاچه قصر,0.374135812
2xg8z8,قنادی مهدی ,37zqjn,شیرینی سرای مهدی,0.065902004
2xggyy,آقای پروتئین ,09mgjn,مستر پروتئین,0.009490437
2xgm8z,کترینگ امیران,0gozwm,رستوران ایرانی امیران,0.017730398
2xgmy7,چلو کبابی سجاسی,27mkr5,چلو کبابی سجاسی,0.059869321
2xgzk3,کافه ایندو,o9g67v,کافه ایندو,0.201254613
2xk9g5,سوپر پروتئین میرزا,7jwnmg,فرآورده های گوشتی و مرغ میرزا (شعبه یک),0.011332016
2xmp95,فست فود سکه‌ ,dqvzox,پیتزا و ساندویچ سکه,0.048126971
2xyg85,کافه رستوران هدایت ,p5d7le,رستوران ایتالیایی هدایت,0.052137289
2y446k,فست فود پسر خاله,0l671e,فست فود پسرخاله,0.012524293
2y46py,فست فود وارانا,94xkdk,فست فود وارانا,0.218610717
2y476x,رستوران کالدو ,12zkk2,پیتزا کالدو,0.002160335
2y4k9l,رستوران مستر کباب ۲۲ ,zn1lro,مستر کباب 22,0.013712865
2y4owo,هایپر میوه چهل ستون,nnvznz,هایپر میوه چهلستون,0.042360401
2y4xx3,چلوخورشت طهرونسر,e5eoom,چلو خورشت طهرون سر,0.022894114
2y4yxy,مطبخ سفیران,qyl7xx,مطبخ سفیران,0.032235865
2y4z3g,مجتمع نان سنتی طاهریه,pv4kkd,مجتمع نان سنتی طاهریه,0.003454446
2y6475,کافه رستوران آرامینتا12/12,p4v55j,کافه فود آرامینتا 1212,0.013589258
2ym319,نان تافتون نمونه,32r8ze,نانوایی تافتون نمونه (شعبه باستانی پور),0.011574102
2ym499,هایدا (قلهک),0jr8n6,هایدا (قلهک),0.287600764
2ym7ro,اصل تبریز شرق,l2d8vj,شیرینی و خشکبار اصل تبریز,0.01866975
2ym7xz,قنادی لاریسا ,327olq,لاریسا (امیر آباد),0.001121946
2ym7zr,آبمیوه بستنی رضایی,o9o18v,آبمیوه بستنی رضایی (شعبه وردآورد),0.006384345
2ym8g4,اِي اِم,85d87m,کافه ای ام,0.003220872
2ym8nn,فست فود آیدا,0w6nz5,ساندویچ آیدا (میرزای شیرازی),0.003543068
2ym8ww,شیرینی سرای طلوع,zndlx2,قنادی طلوع,0.002178998
2ymg1z,آبمیوه بستنی ما 2 تا,0qrrox,آبمیوه بستنی مادوتا (کلبه ی سابق),0.005538869
2yo7p3,رستوران دیزی تو,jym769,دیزیتو,0.024490188
2yo87g,چلوکبابی زاگرس,0n462r,چلوکبابی زاگرس,0.021379768
2yo9xp,میوه فروشی سادات,kl7xvk,هایپر میوه سادات,0.020244743
2yomko,رستوران و کبابی سلطان ,gnooqm,رستوران و کبابی سلطان,0.015090618
2yooo9,کافه کارینو,0m2j1v,کافه كارينو,0.362865815
2yowko,فلافل یاس 113,jy4qq9,فلافل یاس۱۱۳,0.012753397
2z3ww5,شبهای بغداد,jyj6qr,فست فود شبهای بغداد,0.017106007
2z444x,ساندویچ کارن,vxq91v,ساندویج سردکارن,0.027886651
2z47r1,آبمیوه بستنی چهارفصل,44l41r,آبمیوه بستنی چهار فصل,0.018485881
2z48ox, رستوران امیر عباس شعبه2,zn9wyw,رستوران امیرعباس (شعبه 2),0.193227815
