WKT,name
"POLYGON ((51.382126 35.659677, 51.382228 35.657208, 51.381917 35.656187, 51.382574 35.654182, 51.383303 35.653337, 51.388407 35.650333, 51.392561 35.645811, 51.393048 35.644073, 51.391279 35.640378, 51.3910854 35.6387585, 51.393804 35.628927, 51.393429 35.626546, 51.390671 35.621911, 51.390197 35.614272, 51.407673 35.614379, 51.414388 35.615324, 51.41739 35.616319, 51.425285 35.621837, 51.431443 35.625556, 51.436352 35.627491, 51.434266 35.645484, 51.412502 35.64787, 51.413494 35.65349, 51.412093 35.658531, 51.410648 35.658281, 51.407984 35.658158, 51.393543 35.659717, 51.39272 35.658459, 51.382126 35.659677))",نازی آباد
"POLYGON ((51.421664 35.749463, 51.4233694 35.7491652, 51.4342998 35.7492876, 51.4394352 35.7503847, 51.4404765 35.7506087, 51.4445434 35.7509893, 51.4472325 35.7516355, 51.448847 35.752093, 51.4517012 35.7541659, 51.455333 35.76347, 51.448673 35.766697, 51.446582 35.767117, 51.446971 35.768196, 51.445792 35.769811, 51.449737 35.779017, 51.449552 35.779925, 51.447805 35.782994, 51.445804 35.786357, 51.436272 35.783944, 51.432108 35.780214, 51.427797 35.77853, 51.428042 35.776024, 51.424225 35.770134, 51.422765 35.767629, 51.420834 35.761817, 51.419962 35.757866, 51.420907 35.751458, 51.421664 35.749463))",ظفر - میرداماد
"POLYGON ((51.520571 35.777506, 51.514459 35.781807, 51.511633 35.782803, 51.5003217 35.786238, 51.498151 35.786261, 51.492292 35.78567, 51.490846 35.785838, 51.4874274 35.7872207, 51.48076 35.790094, 51.478603 35.790441, 51.475815 35.790189, 51.47288 35.786701, 51.470561 35.7861, 51.468145 35.7814, 51.46008 35.780173, 51.455622 35.780008, 51.453745 35.780348, 51.449552 35.779925, 51.449737 35.779017, 51.445792 35.769811, 51.446971 35.768196, 51.446582 35.767117, 51.448673 35.766697, 51.455333 35.76347, 51.4517012 35.7541659, 51.448847 35.752093, 51.456109 35.755442, 51.4613566 35.7567092, 51.46561 35.756843, 51.469304 35.756742, 51.47291 35.757146, 51.477227 35.758797, 51.481522 35.759271, 51.484736 35.758728, 51.4847017 35.7622668, 51.486384 35.766502, 51.491328 35.770576, 51.495941 35.769972, 51.498647 35.770193, 51.503352 35.771411, 51.513142 35.77287, 51.520571 35.777506))",پاسداران - هروی -دروس
"POLYGON ((51.427797 35.77853, 51.422244 35.785253, 51.420609 35.788292, 51.418681 35.790025, 51.417446 35.790597, 51.410123 35.791969, 51.406971 35.791867, 51.405987 35.792254, 51.40311 35.793769, 51.402028 35.79373, 51.399262 35.792348, 51.3958643 35.7913838, 51.39277 35.790319, 51.392295 35.790141, 51.391881 35.788977, 51.391819 35.788243, 51.393013 35.782265, 51.393116 35.781214, 51.393074 35.780781, 51.392493 35.779221, 51.3885227 35.7730831, 51.387471 35.770636, 51.38732 35.76881, 51.38858 35.761404, 51.388625 35.760316, 51.388398 35.759324, 51.386438 35.755098, 51.38625 35.753987, 51.386266 35.750277, 51.396767 35.751085, 51.4056737 35.7512452, 51.4112757 35.7514932, 51.413175 35.751983, 51.414854 35.752036, 51.415629 35.75201, 51.416912 35.751736, 51.421664 35.749463, 51.420907 35.751458, 51.4206294 35.7537231, 51.419962 35.757866, 51.420834 35.761817, 51.422765 35.767629, 51.428042 35.776024, 51.427797 35.77853))",جردن - ونک
"POLYGON ((51.386266 35.750277, 51.38625 35.753987, 51.386438 35.755098, 51.388398 35.759324, 51.388625 35.760316, 51.38858 35.761404, 51.38732 35.76881, 51.387471 35.770636, 51.388269 35.772627, 51.392493 35.779221, 51.393074 35.780781, 51.393116 35.781214, 51.393013 35.782265, 51.391819 35.788243, 51.391881 35.788977, 51.392295 35.790141, 51.39185 35.790931, 51.389937 35.792469, 51.389443 35.792645, 51.386649 35.792946, 51.387902 35.796308, 51.3836786 35.7942113, 51.3760177 35.7928832, 51.3732709 35.7951109, 51.3667697 35.7976219, 51.361524 35.80409, 51.3585282 35.803174, 51.3551035 35.795784, 51.3525612 35.7959228, 51.34621 35.795189, 51.342899 35.798584, 51.3402562 35.8064291, 51.340449 35.791817, 51.340503 35.788877, 51.341813 35.782827, 51.341461 35.781267, 51.34226 35.780428, 51.343188 35.780659, 51.343793 35.777009, 51.3423774 35.7716359, 51.341824 35.766103, 51.342623 35.765445, 51.343036 35.76487, 51.343124 35.764202, 51.342847 35.76367, 51.343608 35.761462, 51.342929 35.755088, 51.343085 35.75249, 51.343843 35.751168, 51.348221 35.751075, 51.3661667 35.7492969, 51.371753 35.749305, 51.386266 35.750277))",سعادت آباد - شهرک غرب
"POLYGON ((51.4255547 35.8077962, 51.426584 35.808657, 51.424299 35.810454, 51.422568 35.812359, 51.419718 35.81348, 51.418374 35.8151, 51.415605 35.816624, 51.414326 35.817434, 51.413092 35.817539, 51.4089752 35.8230349, 51.3986778 35.8256074, 51.3899016 35.8156643, 51.380224 35.809478, 51.378078 35.80786, 51.3824446 35.8016834, 51.38518 35.800101, 51.3851381 35.7949416, 51.387902 35.796308, 51.386649 35.792946, 51.389443 35.792645, 51.389937 35.792469, 51.39185 35.790931, 51.392295 35.790141, 51.3958643 35.7913838, 51.399262 35.792348, 51.402028 35.79373, 51.40311 35.793769, 51.405987 35.792254, 51.406971 35.791867, 51.410123 35.791969, 51.417446 35.790597, 51.418681 35.790025, 51.420609 35.788292, 51.422244 35.785253, 51.427797 35.77853, 51.432108 35.780214, 51.436272 35.783944, 51.4355712 35.7888641, 51.433647 35.799354, 51.4339 35.8040172, 51.4302003 35.8049802, 51.4276586 35.8051364, 51.4278934 35.8061709, 51.4271898 35.8062176, 51.425713 35.806809, 51.4255547 35.8077962))",ولنجک - زعفرانیه
"POLYGON ((51.4112757 35.7514932, 51.396767 35.751085, 51.386266 35.750277, 51.371753 35.749305, 51.371493 35.747944, 51.37044 35.746045, 51.369861 35.744033, 51.36966 35.742318, 51.371302 35.732605, 51.368913 35.728825, 51.381658 35.725019, 51.379409 35.721854, 51.378178 35.718567, 51.377975 35.71184, 51.389493 35.7142, 51.408494 35.72089, 51.409815 35.7233156, 51.412611 35.725752, 51.413852 35.727175, 51.4090258 35.73725, 51.4115557 35.7466742, 51.4112757 35.7514932))",یوسف آباد - امیرآباد - گیشا‎
"POLYGON ((51.343843 35.751168, 51.3431624 35.7407446, 51.3357146 35.7405769, 51.3331236 35.740233, 51.335953 35.712262, 51.337751 35.701934, 51.338964 35.701922, 51.339878 35.701492, 51.341494 35.70029, 51.342449 35.69987, 51.378038 35.700656, 51.377583 35.704977, 51.377975 35.71184, 51.378178 35.718567, 51.379409 35.721854, 51.381658 35.725019, 51.368913 35.728825, 51.371302 35.732605, 51.36966 35.742318, 51.369861 35.744033, 51.37044 35.746045, 51.371493 35.747944, 51.371753 35.749305, 51.3661667 35.7492969, 51.348221 35.751075, 51.343843 35.751168))",صادقیه - ستارخان - مرزداران
"POLYGON ((51.3194929 35.7861365, 51.319247 35.781296, 51.316753 35.780235, 51.319179 35.778117, 51.320068 35.777269, 51.320554 35.773214, 51.318511 35.771308, 51.319153 35.763891, 51.314623 35.748765, 51.313635 35.73968, 51.3141935 35.7387973, 51.313207 35.737601, 51.312194 35.734592, 51.314565 35.735851, 51.3246076 35.7382231, 51.3331236 35.740233, 51.3356646 35.7405673, 51.3431624 35.7407446, 51.343843 35.751168, 51.343085 35.75249, 51.342929 35.755088, 51.343608 35.761462, 51.342847 35.76367, 51.343124 35.764202, 51.343036 35.76487, 51.342623 35.765445, 51.341824 35.766103, 51.342374 35.77144, 51.343793 35.777009, 51.343188 35.780659, 51.34226 35.780428, 51.341461 35.781267, 51.341813 35.782827, 51.3414777 35.7842427, 51.3409628 35.7866448, 51.340503 35.788877, 51.340449 35.791817, 51.3279106 35.7937115, 51.319925 35.7913165, 51.3194929 35.7861365))",پونک - باغ فیض‎
"POLYGON ((51.377975 35.71184, 51.377583 35.704977, 51.378676 35.694882, 51.381516 35.694011, 51.383758 35.693931, 51.392282 35.693284, 51.392541 35.691247, 51.392648 35.690515, 51.392912 35.688132, 51.410148 35.686131, 51.41416 35.68582, 51.420739 35.685923, 51.420795 35.685422, 51.421088 35.68537, 51.426999 35.686294, 51.429145 35.6865143, 51.431814 35.685628, 51.432641 35.690853, 51.438464 35.701861, 51.430174 35.701776, 51.435738 35.709353, 51.439482 35.715456, 51.428131 35.718965, 51.426289 35.715415, 51.41721 35.715248, 51.416276 35.716393, 51.415458 35.72036, 51.416442 35.724069, 51.415736 35.727703, 51.413852 35.727175, 51.412611 35.725752, 51.409815 35.7233156, 51.408494 35.72089, 51.389493 35.7142, 51.3836802 35.712994, 51.377975 35.71184))",هفت تیر - انقلاب - ولیعصر - فردوسی
